timestamp,pitch,roll,yaw,heading,longitude,latitude,voltage,temperature,questNo,setPoint,currentSpeed
2025-07-16T18:55:25.425,0,32.8172,11,227.83,2.14,-0.63,-0.21,0,0,0.37,-0.15
2025-07-16T18:55:26.509,0,32.8172,10,242.84,-1.58,-1.85,0.6,0.4,0,0.07,0.66
2025-07-16T18:55:27.591,0,32.8172,12,305.62,-1.37,2.69,-0.1,-0.22,0,0.13,0.61
2025-07-16T18:55:28.676,0,32.8172,10,188.4,4.78,-3,0.94,-0.44,0,0.51,0.86
2025-07-16T18:55:29.758,0,32.8172,9,305.44,2.39,2.76,0.84,0.08,0,0.14,-0.46
2025-07-16T18:55:30.841,0,32.8172,9,270.28,1.71,0.7,-0.37,-0.76,0,0.43,-0.46
2025-07-16T18:55:31.924,0,32.8172,12,269.81,0.52,-0.12,0.63,-0.81,0,0.79,0.56
2025-07-16T18:55:33.007,0,32.8172,13,304.87,-1.47,-0.01,0.88,-0.2,0,-0.34,-0.17
2025-07-16T18:55:34.089,0,32.8172,12,182.36,4.09,2.67,-0.66,-0.16,0,-0.49,0.49
2025-07-16T18:55:35.175,0,32.8172,12,334.67,-3.9,0.89,0.27,0.81,0,-0.05,0.36
2025-07-16T18:55:36.258,0,32.8172,12,334.35,-2.69,2.72,-0.72,-0.3,0,0.87,-0.03
2025-07-16T18:55:37.340,0,32.8172,9,266.46,-4.1,2.11,-0.88,0.12,0,0.81,0.51
2025-07-16T18:55:38.424,0,32.8172,12,333.21,-2.87,2.28,0.5,0.59,0,0.54,0.92
2025-07-16T18:55:39.507,0,32.8172,8,313.3,1.32,0.59,0.77,-0.68,0,-0.28,0.83
2025-07-16T18:55:40.591,0,32.8172,9,211.53,1.22,-1.79,0.56,0.91,0,0,0.96
2025-07-16T18:55:41.674,0,32.8172,10,267.04,0.99,-1.71,0.44,-0.3,0,-0.84,0.99
2025-07-16T18:55:43.840,0,32.8172,11,305.83,0.15,-0.41,-0.22,0.61,0,0.82,-0.52
2025-07-16T18:55:44.923,0,32.8172,8,194.4,-1.19,0.7,-0.72,0.44,0,-0.31,0.95
