LAT,LON,SIV,REMOTE,FAILSAFE,L_PWM,R_PWM,GPS_HEADING,GPS_SPEED,Setpoint_Speed,Setpoint_Yaw,L_setpoint,R_setpoint
39.9399892,32.8230826,6,0,0,800,800,144.64,0.56,0.472265741946415,144.69949805909056,802.249399042233,801.1765759229067
39.9399817,32.8230893,7,0,0,800,800,148.37,0.72,0.682449834126263,148.2943659337243,797.4826197782737,799.6423533092517
39.9399708,32.8230911,8,0,0,800,800,151.94,1.08,1.067774768624122,152.04391512255864,797.2203675149018,798.9520258532772
39.9399796,32.8230782,8,0,0,800,800,152.95,0.64,0.6355308081689103,152.99858984539566,795.0144084654294,792.9154738762373
39.939992,32.8230665,9,0,0,800,800,152.95,0.15,0.1426152691758321,153.129400654698,803.9843031406169,799.9687316610535
39.9399981,32.823061,8,0,0,800,800,-1.0,0.01,0.0038275549901774,358.9392386754406,802.610657362632,806.1516127584887
39.9400026,32.8230575,7,0,0,800,800,152.95,0.1,0.1418888248305656,153.0460472349781,803.6589478255448,800.7727811468413
39.9400073,32.8230544,7,0,0,800,800,152.95,0.09,0.005194806497229,152.94276609048683,796.1975490886896,796.704714226131
39.9400107,32.8230511,7,0,0,800,800,152.95,0.08,0.0009859187185747,152.76463260129006,799.0196436144123,800.0290377499113
39.9400184,32.8230508,8,0,0,800,800,-1.0,0.03,0.0555452500908952,359.05193887085915,794.0702734328875,799.5136371203721
39.9400232,32.8230503,8,0,0,800,800,152.95,0.08,0.1006128333455875,152.8282077010993,795.4761026968293,801.8772478102219
39.9400292,32.8230503,7,0,0,800,800,-1.0,0.03,0.0104280119607214,358.9347251559034,796.8823960149379,798.0423294558966
39.9400342,32.8230487,8,0,0,800,800,152.95,0.09,0.0973184904960873,153.06716241646942,800.0002680346862,798.9409231306665
39.9400398,32.8230474,9,0,0,800,800,152.95,0.06,-0.0301211933365689,152.94165194174045,800.7505250921873,801.5993944717937
39.940047,32.8230462,10,0,0,800,800,152.95,0.06,0.0260063378099173,153.09629880359105,795.4915558176722,797.186165144607
39.9400553,32.8230424,12,0,0,800,800,152.95,0.1,0.143416268771461,152.83415419588505,794.5528164376707,798.2924655544871
39.9400601,32.8230398,12,0,0,800,800,152.95,0.08,0.1234751698911249,152.9743303347743,800.2251210464286,802.3032314163545
39.9400685,32.8230378,12,0,0,800,800,152.95,0.12,0.1410673520153685,153.0299811066995,798.0754952659199,799.0416126028871
39.9400684,32.8230399,12,0,0,800,800,152.95,0.24,0.265222184969046,152.97172034280382,797.0974917037616,799.2043079509442
39.9400757,32.8230357,12,0,0,800,800,152.95,0.25,0.1860460363246612,152.9720025754834,798.7885696179831,801.404447989371
39.9400927,32.8230245,12,0,0,800,800,282.3,1.06,1.1625598397738646,282.4189504412207,800.2458522430813,797.6878967008845
39.9400885,32.8230256,12,0,0,800,800,282.3,0.11,0.1592009878916829,282.317588910797,803.2847753894978,797.9534771988885
39.9400912,32.8230244,11,0,0,800,800,282.3,0.11,0.0151764868498089,282.20517063170456,798.4252569876655,799.2557636723197
39.9400955,32.8230222,12,0,0,800,800,282.3,0.07,0.0959374203882982,282.3067282815351,802.3054991198854,798.2319591571036
39.9400967,32.8230201,12,0,0,800,800,282.3,0.16,0.1692273781167443,282.32576144350134,798.1230535048682,800.6947645692329
39.9400963,32.8230161,12,0,0,800,800,282.3,0.22,0.2033797317085091,282.37643631717424,801.5626163035772,798.5651613796133
39.9400989,32.8230152,12,0,0,800,800,282.3,0.06,0.1252440004856735,282.2563219412704,802.4863036662564,797.1418004967722
39.9401018,32.8230134,11,0,0,800,800,282.3,0.14,0.1629183663663923,282.2582437747271,802.621117050035,806.7783952566538
39.9401025,32.8230097,10,0,0,800,800,282.3,0.14,0.1455839206478992,282.35722852519274,800.7882812527359,801.6136462349281
39.9401015,32.8230055,10,0,0,800,800,282.3,0.28,0.3826780887176601,282.43900774813767,799.9411098894158,802.0540967436642
39.9401014,32.8230097,10,0,0,800,800,282.3,0.11,0.1163571831569893,282.3749533282223,803.7810696438448,804.9443369492426
39.9401037,32.8230082,11,0,0,800,800,282.3,0.06,0.0444163244546191,282.32386220036267,799.2930058306847,796.3092320071406
39.9401038,32.8230088,10,0,0,800,800,282.3,0.14,0.2023254488643811,282.35293910249914,800.8195572932892,803.3631052782495
39.9401011,32.8230136,10,0,0,800,800,282.3,0.27,0.3109002659686482,282.33698360470765,797.9085560828474,800.4394101143832
39.940097,32.8230158,11,0,0,800,800,282.3,0.4,0.4096896953412293,282.1567316637425,798.6842367648484,797.9948670372671
39.9401006,32.823012,12,0,0,800,800,282.3,0.2,0.1846594788193198,282.33282803302774,797.031451673977,797.8700928246363
39.940108,32.8230075,12,0,0,800,800,-1.0,0.02,0.0855121479979349,358.9544264371767,797.7545486835776,794.8940820512228
39.9401157,32.8230016,12,0,0,800,800,282.3,0.25,0.3068668959381171,282.2812414796753,803.1000073724427,798.9392887760898
39.9401194,32.8229989,12,0,0,800,800,282.3,0.23,0.1897126657982155,282.24842463224,792.2268018524375,802.8827042547941
39.9401222,32.8229969,11,0,0,800,800,282.3,0.21,0.2803160591392151,282.22658641358163,795.318736885158,798.389228368881
39.9401215,32.8229968,11,0,0,800,800,282.3,0.08,0.0022980452308462,282.3997254212221,803.3069864566032,798.9711027654545
